STT,question,answer
1,Làm thế nào để đăng ký học phần cho học kỳ đầu tiên?,"Sinh viên đăng nhập vào hệ thống UD-Portal hoặc trang đào tạo của trường (http://daotao.due.udn.vn), chọn mục “Đăng ký học phần”, sau đó chọn môn học theo kế hoạch đào tạo."
2,Làm sao để biết lịch học và lịch thi của mình?,"Vào cổng đào tạo → “Tra cứu lịch học, lịch thi” → nhập mã sinh viên để xem chi tiết thời gian, phòng học và giảng viên."
3,Nếu bị trùng lịch hoặc sai môn khi đăng ký học thì xử lý thế nào?,Liên hệ Phòng Đào tạo hoặc cố vấn học tập trong tuần đầu tiên để được hỗ trợ chỉnh sửa học phần.
4,Trường có quy định điểm danh hay không?,Có. Hầu hết các môn đều yêu cầu sinh viên tham dự tối thiểu 80% số buổi. Nghỉ quá số buổi quy định sẽ không được dự thi cuối kỳ.
5,Làm thế nào để tham gia các câu lạc bộ trong trường?,"Sinh viên có thể theo dõi Fanpage “Trường Đại học Kinh tế – Đại học Đà Nẵng” hoặc các CLB riêng (CLB Kinh tế trẻ, CLB Chứng khoán DSC, CLB Khởi nghiệp, CLB Marketing...) để đăng ký tham gia."
6,Làm sao để xin giấy xác nhận sinh viên hoặc miễn giảm học phí?,"Đến Phòng Công tác sinh viên hoặc sử dụng cổng dịch vụ công của trường để nộp đơn online, thường cần CMND/CCCD và giấy tờ chứng minh thu nhập/hộ nghèo."
7,"Trường có ký túc xá không, và cách đăng ký như thế nào?",Có. Ký túc xá Đại học Đà Nẵng nằm gần khuôn viên trường. Sinh viên nộp đơn đăng ký trực tiếp tại Ban Quản lý Ký túc xá hoặc qua website của Đại học Đà Nẵng.
8,Điểm rèn luyện là gì và tính như thế nào?,"Điểm rèn luyện đánh giá thái độ, ý thức học tập, tham gia hoạt động và chấp hành quy định. Tổng điểm gồm 5 tiêu chí, được chấm mỗi học kỳ."
9,Làm sao để tra cứu học bổng hoặc kết quả xét học bổng?,Truy cập website Phòng Công tác sinh viên hoặc thông báo trên fanpage chính thức. Học bổng dựa vào điểm học tập và rèn luyện.
10,Nếu muốn chuyển ngành hoặc học song ngành thì cần điều kiện gì?,"Sau khi học ít nhất 1 năm, sinh viên có thể làm đơn xin chuyển hoặc học song ngành nếu đạt GPA ≥ 2.5 và không vi phạm quy chế học vụ."
11,Khi nào được cấp thẻ sinh viên và dùng để làm gì?,"Thẻ sinh viên thường được cấp sau 2–3 tuần nhập học, dùng để mượn sách, ra vào thư viện, thanh toán học phí, điểm danh hoặc xác nhận danh tính."
12,Làm thế nào để sử dụng Wi-Fi trong khuôn viên trường?,Đăng nhập mạng “DUE-Student” bằng tài khoản sinh viên (mã SV và mật khẩu UD-Portal). Nếu quên mật khẩu có thể khôi phục qua trang hỗ trợ IT của trường.
13,Trường có thư viện điện tử không và truy cập như thế nào?,"Có. Sinh viên truy cập website thư viện (http://thuviendue.udn.vn) để mượn sách, đọc tài liệu online hoặc tra cứu khóa luận, luận văn."
14,Nếu bị mất thẻ sinh viên thì làm sao để cấp lại?,"Đến Phòng Công tác sinh viên, điền mẫu đơn cấp lại thẻ và nộp lệ phí (khoảng 50.000đ). Sau 3–5 ngày sẽ nhận thẻ mới."
15,Sinh viên có được làm thêm trong thời gian học không?,"Có, nhưng cần cân đối thời gian. Nhà trường khuyến khích làm thêm liên quan đến ngành học hoặc tham gia chương trình thực tập."
16,Các hình thức đánh giá môn học ở DUE gồm những gì?,"Gồm điểm chuyên cần, giữa kỳ và cuối kỳ. Một số môn có thêm bài tập nhóm, thuyết trình hoặc dự án nhỏ."
17,Nếu bị rớt môn thì có thể học lại như thế nào?,Sinh viên đăng ký học lại vào học kỳ sau khi môn được mở. Điểm mới sẽ thay thế điểm cũ trong bảng điểm.
18,Có những chương trình trao đổi sinh viên quốc tế nào?,"DUE có các chương trình trao đổi với Nhật, Hàn, Thái Lan… Sinh viên có thể nộp hồ sơ tại Phòng Hợp tác quốc tế nếu đạt yêu cầu ngoại ngữ và học lực."
19,Làm sao để kết nối với cố vấn học tập?,Mỗi lớp có một giảng viên cố vấn. Thông tin được công bố đầu năm học và trên website khoa. Có thể gửi email hoặc gặp trực tiếp để được hỗ trợ.
20,Làm thế nào để tham gia các hoạt động đoàn – hội của trường?,"Liên hệ Ban Chấp hành Đoàn – Hội khoa hoặc theo dõi Fanpage Đoàn Trường để đăng ký tham gia các hoạt động phong trào, tình nguyện, học thuật."
21,Làm sao để biết điểm các môn học sau khi thi?,Sinh viên tra cứu điểm tại cổng đào tạo DUE (http://daotao.due.udn.vn) mục “Kết quả học tập”. Điểm sẽ được cập nhật sau khi giảng viên nhập lên hệ thống.
22,Học bổng khuyến khích học tập được xét vào thời điểm nào?,"Mỗi học kỳ, Phòng CTSV công bố danh sách sinh viên đủ điều kiện xét học bổng sau khi có kết quả học tập và điểm rèn luyện."
23,Làm thế nào để đăng ký học lại hoặc cải thiện điểm?,"Khi cổng ĐKHP mở, sinh viên có thể chọn lại môn muốn học lại hoặc cải thiện, học phí tính như học phần mới."
24,Nếu muốn tạm dừng học hoặc bảo lưu kết quả thì phải làm gì?,"Sinh viên làm đơn xin bảo lưu kết quả học tập tại Phòng Đào tạo trước khi bắt đầu học kỳ, nêu rõ lý do (sức khỏe, cá nhân, du học...)."
25,Trường có chương trình hỗ trợ sinh viên khó khăn không?,Có. Sinh viên có thể nộp đơn xin hỗ trợ học phí hoặc quỹ “Tiếp sức đến trường” tại Phòng CTSV.
26,Làm sao để tham gia các cuộc thi học thuật hoặc khởi nghiệp trong trường?,"Theo dõi fanpage chính thức của Đoàn trường hoặc các CLB như CLB Khởi nghiệp, CLB Nghiên cứu khoa học để đăng ký."
27,Nếu muốn in bảng điểm hoặc chứng nhận tạm thời thì làm sao?,"Sinh viên đăng ký dịch vụ in bảng điểm tại CTSV hoặc thông qua cổng dịch vụ công, nhận tại trường sau 2–3 ngày."
28,Thang điểm ở DUE tính như thế nào?,"DUE dùng thang điểm 10 và chuyển đổi sang thang 4 (A, B, C, D, F) để tính GPA. A=4.0, B=3.0, C=2.0, D=1.0, F=0."
29,Trường có môn học tự chọn không?,Có. Sinh viên cần hoàn thành đủ số tín chỉ tự chọn theo chương trình đào tạo của từng ngành (thường 9–12 tín chỉ).
30,Ai là giảng_viên xịn xò nhất trường?, Chắc chắn là thầy Nguyễn Thành Thủy rồi.
31,Làm thế nào để đăng ký vào kí túc xá như thế nào?,Sinh viên nộp đơn đăng ký trực tiếp tại Ban Quản lý Ký túc xá hoặc qua website của Đại học Đà Nẵng.
32,Trường có giảng viên nào tận tâm và yêu thương sinh viên không?,Giảng viên Nguyễn Thành Thủy được biết đến là người rất tận tâm và yêu thương sinh viên.
